evangeline,https://github.com/CondeNast/evangeline/pull/2,x
consumer-revenue-apple-news-service,https://github.com/CondeNast/consumer-revenue-apple-news-service/pull/13,
CNWindows,https://github.com/CondeNast/CNWindows/pull/2,
cross-brand-services,https://github.com/CondeNast-Copilot/cross-org-services/pull/6,
autopilot-payment,https://github.com/CondeNast/autopilot-payment/pull/25,
CNEE Apple News connector,no repo,
wren,https://github.com/CondeNast/wren/pull/3,x
cdn-services,https://github.com/CondeNast/cdn-services/pull/29,x
seo-work-queue,https://github.com/CondeNast/seo-work-queue/pull/3,
fastly-deploy,https://github.com/CondeNast/fastly-deploy/pull/187,
escher,https://github.com/CondeNast-Copilot/escher/pull/187,
vulcan,https://github.com/CondeNast-Copilot/vulcan/pull/155,x
dave,https://github.com/CondeNast-Copilot/dave/pull/69,
j58,https://github.com/CondeNast-Copilot/j58/pull/54,
cn-cli,https://github.com/CondeNast/cn-cli/pull/96,
training-registration,https://github.com/CondeNast/training-registration/pull/2,
cn-lighthouse,https://github.com/CondeNast/cn-lighthouse/pull/25,
Miscellaneous Billing Data Upload,no repo,?
cn-enterprise-system-proxy,https://github.com/CondeNast/esps/pull/1,
Invoice Management Tool (Variometer),https://github.com/CondeNast/InvoiceMgt/pull/1,
COMAG Journals Transformation,https://github.com/CondeNast/COMAG/pull/1,
eReceivables / Customer Portal,no repo,?
user-platform-task-scheduler,https://github.com/CondeNast/user-platform-task-scheduler/pull/15,
prettierrc,https://github.com/CondeNast-Copilot/prettierrc/pull/20,
cnid-user-service-api,https://github.com/CondeNast/cnid-user-service-api/pull/41,
User Platform InfinityId,https://github.com/CondeNast/user-platform-infinityid/pull/30,
user-platform-utils,https://github.com/CondeNast/user-platform-utils/pull/33,
Multi-armed bandit,https://github.com/CondeNast/multi-armed-bandit/pull/10,
RBAC service,https://github.com/CondeNast-Copilot/rbac/pull/55,
Perf Timeline CLI,oss,?
feature-store-service,https://github.com/CondeNast/feature-store-service/pull/19,
Gabriel's Trumpet,https://github.com/CondeNast/u2-gabriels-trumpet/pull/23,
user-platform-js-sdk,https://github.com/CondeNast/user-platform-js-sdk/pull/55,
User Platform Email,https://github.com/CondeNast/user-platform-email/pull/57,
tny-graphql,https://github.com/CondeNast/tny-graphql/pull/109,
User Platform Gateway,https://github.com/CondeNast/user-platform-gateway/pull/253,
ember-docs,get a ref failed,?
sparrow-clickstream-forwarder,https://github.com/CondeNast/sparrow-clickstream-forwarder/pull/10,
Pigeon,https://github.com/CondeNast/pigeon/pull/4,
shipping-forecast,https://github.com/CondeNast/shipping-forecast/pull/76,x
longform-editor FYI,change name?,?
Copilot-app-service FYI,change name?,?
vogue-graphql,https://github.com/CondeNast/vogue-graphql/pull/62,
Hystrix-Turbine-Eureka,https://github.com/CondeNast/turbine/pull/1,
sparrow-capture-java,https://github.com/CondeNast/sparrow-capture-java/pull/16,
csp-service,https://github.com/CondeNast/csp-service/pull/1,
cnee-proxy,https://github.com/CondeNast/cnee-proxy/pull/31,
Consumer Revenue Paywall Testing,https://github.com/CondeNast/consumer-revenue-paywall-testing/pull/87,
storybook-gq,https://github.com/CondeNast/storybook-gq/pull/224,
dfp-gq,no repo,?
autopilot-gq,https://github.com/CondeNast/autopilot-gq/pull/2454,
Quick Bus,oss,?
tv-data-viz-trump-tweeets,https://github.com/CondeNast/tv-data-viz-trump-tweeets/pull/4,
glamour-gg-data-viz,https://github.com/CondeNast/glamour-gg-data-viz/pull/1,
seo-preview-tester,https://github.com/CondeNast/seo-preview-tester/pull/2,
SE-Creative FYI,change name?,?
atp-cns-ad-audit,https://github.com/CondeNast/atp-cns-ad-audit/pull/1,
sparrow-capture-go,https://github.com/CondeNast/sparrow-capture-go/pull/2,
core-id,https://github.com/CondeNast-Copilot/core-id/pull/105,
golfdigest-predictor-tool,https://github.com/CondeNast/golfdigest-predictor-tool/pull/1,
rkt-snakes-on-a-plane,later,
rkt-pocket,later,
rkt-logstash-feeds,later,
rkt-goldeneye,later,
rkt-druid-darkvision,later,
rkt-alexa-http-tester,later,
rkt-hopscotch FYI,remove FYI in name?,?
rkt-tv-summit-bot FYI,remove FYI in name?,?
rkt-allurebobbot FYI,remove FYI in name?,?
rkt-beauty-lenses FYI,remove FYI in name?,?
rkt-strike-a-pose FYI,remove FYI in name?,?
rkt-pop-quiz-hotshot FYI,remove FYI in name?,?
rkt-cooking-with-gas FYI,remove FYI in name?,?
rkt-content-curator FYI,remove FYI in name?,?
launch-vehicle-fbm FYI,remove FYI in name?,?
seo-search-trends-radar,https://github.com/CondeNast/seo-portal/pull/80,
autopilot-cnt,https://github.com/CondeNast/autopilot-cnt/pull/942,
Muse,"https://github.com/CondeNast-Copilot/muse-app/pull/275
https://github.com/CondeNast-Copilot/muse-service/pull/228",
Headerbidding plugin,https://github.com/CondeNast/atp-cns-service-ads-plugin-headerbidding/pull/21,
xml-to-react,oss,?
Insertion Orders for EAS and IAAS teams,https://github.com/CondeNast/eas-order-entry/pull/1,
sea-tests,https://github.com/CondeNast/sea-tests/pull/1,
cnee-django,https://github.com/CondeNast/cnee-django/pull/155,
Logbus,https://github.com/CondeNast-Copilot/core-logbus-sdk/pull/48,
CN Mailinator - FakeMail,https://github.com/CondeNast/fake-email/pull/1,
Document Repo,no repo,?
CDS Vertex Tool,https://github.com/CondeNast/cds_vertex/pull/1,
ePayables and Vendor Portal,https://github.com/CondeNast/ePayables/pull/6,
Open Source Check,oss?,?
Frequent Flyer,http://www.github.com/CondeNast/frequent-flyer/pull/11,
Takeoff,https://github.com/CondeNast/takeoff/pull/60,
Jetbridge,https://github.com/CondeNast/jetbridge/pull/73,
tny-browser-extension,https://github.com/CondeNast/tny-browser-extension/pull/10,
Booking,https://github.com/CondeNast/booking/pull/330,
Sabre,https://github.com/CondeNast/sabre/pull/84,
Monetization Test Environments,https://github.com/CondeNast/monetization-test-environments/pull/4,
graphql-analytics,https://github.com/CondeNast-Copilot/node-graphql-analytics/pull/58,x
fivebyfive,https://github.com/CondeNast/fivebyfive/pull/1,
usermixer,no readme,
cne-director,https://github.com/CondeNast/cne-director/pull/1,
fcfi,no readme,?
HotZones,https://github.com/CondeNast/hotzones/pull/4,main branch was dev!
slipstream,repo archived,
slack-archivist,https://github.com/CondeNast/slack-archivist/pull/1,
back-nine,https://github.com/CondeNast/back-nine/pull/1,
golf-digest-panelists,https://github.com/CondeNast/golf-digest-panelists/pull/1,
easy-fyi,https://github.com/CondeNast/easy-fyi/pull/28,
Variations SDK,https://github.com/CondeNast-Copilot/variations-sdk/pull/19,
Test Automation,https://github.com/CondeNast/automation/pull/456,
cross-check,cross-check org?,?
Evangelism,https://github.com/CondeNast/evangelism/pull/147,
rkt-url-config,https://github.com/CondeNast/rkt-url-config/pull/5,
Verso Server,https://github.com/CondeNast/aviator-multi-tenant/pull/895,
copilot-atjson,get a ref failed,?
atjson,get a ref failed,?
copilot-editor-deus,https://github.com/CondeNast-Copilot/poetica-deus/pull/10,
copilot-editor,https://github.com/CondeNast-Copilot/poetica-server/pull/180,
copilot-editor-app,https://github.com/CondeNast-Copilot/poetica-editor/pull/119,
xid-integrity-check,no repo,?
nosoupbot,https://github.com/CondeNast/nosoupbot/pull/3,
Text2vec,no repo,?
VESS,no repo,?
HAL-Linker,https://github.com/CondeNast/hal-linker/pull/6,
Wasabi,https://github.com/CondeNast/wasabi/pull/24,
Copilot Linker,https://github.com/CondeNast/copilot-linker/pull/14,
Prediction,https://github.com/CondeNast/Prediction/pull/18,x
aviator-navigation-service,https://github.com/CondeNast/aviator-navigation-service/pull/37,
copilot-category-explorer,pending repo info,?
autopilot-vf,https://github.com/CondeNast/autopilot-vf/pull/3911,
Glider,https://github.com/CondeNast/glider-cnt/pull/106,
Mugatu,https://github.com/CondeNast/mugatu/pull/41,?
Condé Nast Entitlement Engine (CNEE),https://github.com/CondeNast/legacy-cnee/pull/20,
Callsign,https://github.com/CondeNast/callsign/pull/11,
Boomcatch,https://github.com/CondeNast/cn-boomcatch/pull/121,
Copilot,https://github.com/CondeNast-Copilot/copilot/pull/4559,x
Haiku,https://github.com/CondeNast/haiku/pull/5,
HAL,https://github.com/CondeNast/HAL/pull/162,x
one.conde.io,https://github.com/CondeNast/one-conde-io/pull/35,x
FYIs FYI,,
